User_id,Year,Month,Tweet_count,Hashtag_count,Percent_mobile,Retweet_count,Location_sharing_count,Quote_count,Percent_tweets
13679,2020,8,34,0,1.0,4066.0,0,4,0.0066614420062695925
13679,2020,9,42,4,1.0,801.0,0,14,0.008228840125391849
13679,2020,10,55,2,1.0,2057.0,0,15,0.010775862068965518
13679,2020,11,43,1,1.0,1560.0,0,9,0.008424764890282132
1599171,2020,12,177,10,1.0,258718.0,0,38,0.003715521222553424
2789291,2020,7,44,22,1.0,107567.0,0,2,0.0047144540876459876
2789291,2020,8,27,3,1.0,804523.0,0,2,0.0028929604628736743
2789291,2020,9,49,15,1.0,378356.0,0,5,0.005250187506696668
2789291,2020,10,49,17,1.0,64451.0,0,2,0.005250187506696668
2789291,2020,11,23,3,1.0,42812.0,0,4,0.0024643737276331297
5552492,2020,5,8,0,1.0,89.0,0,1,0.0002104598547827002
5552492,2020,6,33,3,1.0,8070.0,0,6,0.0008681469009786384
5552492,2020,7,60,1,1.0,6463.0,0,5,0.0015784489108702515
5552492,2020,8,37,1,1.0,466.0,0,2,0.0009733768283699885
5552492,2020,9,24,1,1.0,51.0,0,3,0.0006313795643481006
5552492,2020,10,24,2,1.0,86.0,0,3,0.0006313795643481006
5552492,2020,11,11,0,1.0,299.0,0,1,0.00028938230032621277
6875612,2012,3,1,1,1.0,0.0,0,0,0.020833333333333332
6875612,2012,7,3,3,1.0,1717.0,0,0,0.0625
6875612,2012,8,8,5,1.0,5556.0,0,0,0.16666666666666666
6875612,2012,9,6,2,1.0,27.0,0,0,0.125
6875612,2012,10,1,1,1.0,0.0,0,0,0.020833333333333332
6875612,2012,11,4,0,1.0,36.0,0,1,0.08333333333333333
6875612,2012,12,1,1,1.0,0.0,0,0,0.020833333333333332
6875612,2013,5,1,1,1.0,0.0,0,0,0.020833333333333332
6875612,2013,12,15,2,1.0,712.0,0,0,0.3125
6875612,2014,3,2,0,1.0,620.0,0,0,0.041666666666666664
6875612,2014,4,1,0,1.0,337.0,0,0,0.020833333333333332
8044452,2020,6,8,1,1.0,76569.0,0,0,0.00020899733528397514
11384102,2020,11,73,1,1.0,563.0,0,16,0.0030433151290282234
11384102,2020,12,117,3,1.0,59752.0,0,25,0.004877642056113728
13311252,2020,10,45,7,1.0,43369.0,0,5,0.002634968965921068
13311252,2020,11,74,13,1.0,911785.0,0,12,0.004333060077292423
14135350,2020,11,193,2,1.0,116356.0,0,59,0.01441804870760496
14216203,2020,9,44,21,1.0,4301.0,0,8,0.0019221528111484864
14216203,2020,10,66,6,1.0,3797.0,0,3,0.0028832292167227293
14216203,2020,11,41,25,1.0,2570.0,0,0,0.0017910969376610894
14216203,2020,12,19,3,1.0,499.0,0,0,0.0008300205320868464
14262811,2020,11,196,21,1.0,1624.0,0,14,0.0015860556576061887
14434613,2020,6,11,4,1.0,177104.0,0,2,0.00013107565448457477
15383636,2020,9,58,0,1.0,889.0,0,0,0.0010237040436309724
15383636,2020,10,87,0,1.0,1634.0,0,0,0.0015355560654464586
15383636,2020,11,44,4,1.0,428.0,0,0,0.0007766030675821169
15872418,2020,11,144,13,1.0,2443.0,0,2,0.00018360274486103567
16347964,2020,10,76,1,1.0,15214.0,0,1,0.002957889001323266
16347964,2020,11,114,0,1.0,12071.0,0,15,0.004436833501984899
16679634,2020,6,2,0,1.0,1218.0,0,0,8.374507997655137e-05
16742053,2020,5,33,3,1.0,423.0,0,1,0.004359313077939234
16742053,2020,6,28,4,1.0,324.0,0,1,0.0036988110964332895
16742053,2020,7,40,1,1.0,5454.0,0,4,0.005284015852047556
16742053,2020,8,26,4,1.0,8838.0,0,2,0.0034346103038309117
16742053,2020,9,25,2,1.0,107.0,0,0,0.0033025099075297227
16742053,2020,10,24,2,1.0,977.0,0,1,0.003170409511228534
16742053,2020,11,15,1,1.0,65.0,0,1,0.0019815059445178335
16742053,2020,12,4,0,1.0,72.0,0,0,0.0005284015852047556
16989178,2020,11,178,23,1.0,1198479.0,0,41,0.011799018957974281
17191272,2020,6,1,0,1.0,328.0,0,0,1.3581974004101756e-05
17937362,2020,10,34,5,1.0,42704.0,0,6,0.007792803117121247
17937362,2020,11,52,10,1.0,53029.0,0,19,0.011918404767361907
18166778,2020,9,3,0,1.0,26502.0,0,0,0.0007390983000739098
18166778,2020,10,104,15,1.0,991138.0,0,19,0.025622074402562207
